Age at date of trial,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,72.0,73.0,74.0,75.0,76.0,77.0,78.0,79.0,80.0,81.0,82.0,83.0,84.0,85.0,86.0,87.0,88.0,89.0,90.0,91.0,92.0,93.0,94.0,95.0,96.0,97.0,98.0,99.0,100.0,101.0,102.0,103.0,104.0,105.0,106.0,107.0,108.0,109.0,110.0,111.0,112.0,113.0,114.0,115.0,116.0,117.0,118.0,119.0,120.0,121.0,122.0,123.0,124.0,125.0
12,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.7,11.64,12.57,13.51,14.43,15.36,16.27,17.19,18.09,19.0,19.89,20.79,21.67,22.56,23.43,24.31,25.17,26.04,26.89,27.75,28.59,29.43,30.27,31.1,31.93,32.75,33.56,34.37,35.17,35.97,36.76,37.55,38.33,39.1,39.87,40.63,41.39,42.14,42.88,43.62,44.35,45.07,45.79,46.5,47.2,47.89,48.57,49.25,49.91,50.57,51.21,51.85,52.48,53.09,53.69,54.28,54.86,55.42,55.97,56.5,57.01,57.51,57.99,58.45,58.88,59.3,59.69,60.05,60.39,60.71,60.99,61.25,61.47,61.67,61.84,61.98,62.09,62.17,62.24,62.29,62.32,62.34,62.36,62.36,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37,62.37
13,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.8,9.75,10.69,11.64,12.57,13.5,14.43,15.35,16.27,17.18,18.09,18.99,19.89,20.78,21.67,22.55,23.43,24.3,25.16,26.03,26.88,27.73,28.58,29.42,30.25,31.08,31.91,32.72,33.54,34.34,35.14,35.94,36.73,37.51,38.29,39.06,39.83,40.59,41.34,42.09,42.83,43.56,44.29,45.01,45.72,46.42,47.11,47.8,48.48,49.15,49.8,50.45,51.09,51.72,52.34,52.94,53.53,54.11,54.67,55.22,55.75,56.27,56.76,57.24,57.7,58.14,58.55,58.94,59.3,59.64,59.96,60.24,60.49,60.72,60.91,61.08,61.21,61.32,61.41,61.48,61.52,61.55,61.58,61.59,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6,61.6
14,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.88,7.84,8.79,9.75,10.69,11.63,12.57,13.5,14.43,15.35,16.27,17.18,18.08,18.99,19.88,20.77,21.66,22.54,23.42,24.29,25.15,26.01,26.87,27.72,28.56,29.4,30.23,31.06,31.88,32.7,33.51,34.32,35.11,35.91,36.7,37.48,38.25,39.02,39.79,40.54,41.29,42.04,42.77,43.5,44.22,44.94,45.64,46.34,47.03,47.71,48.38,49.04,49.69,50.33,50.96,51.58,52.18,52.77,53.35,53.92,54.47,55.0,55.52,56.01,56.49,56.95,57.39,57.8,58.19,58.55,58.89,59.2,59.48,59.74,59.96,60.15,60.31,60.45,60.56,60.64,60.71,60.75,60.78,60.8,60.82,60.82,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83,60.83
15,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.87,7.84,8.79,9.74,10.69,11.63,12.57,13.5,14.42,15.35,16.26,17.17,18.08,18.98,19.88,20.77,21.65,22.53,23.41,24.28,25.14,26.0,26.85,27.7,28.55,29.38,30.21,31.04,31.86,32.67,33.48,34.29,35.08,35.87,36.66,37.44,38.21,38.98,39.74,40.49,41.24,41.98,42.71,43.43,44.15,44.86,45.56,46.25,46.93,47.6,48.27,48.92,49.56,50.2,50.81,51.42,52.02,52.6,53.16,53.71,54.25,54.76,55.26,55.74,56.2,56.63,57.05,57.43,57.8,58.13,58.44,58.72,58.97,59.19,59.39,59.55,59.68,59.79,59.87,59.93,59.98,60.01,60.03,60.04,60.05,60.05,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06,60.06
16,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.94,5.91,6.87,7.83,8.79,9.74,10.69,11.63,12.56,13.5,14.42,15.34,16.26,17.17,18.07,18.97,19.87,20.76,21.64,22.52,23.4,24.27,25.13,25.99,26.84,27.69,28.53,29.36,30.19,31.02,31.83,32.65,33.45,34.25,35.05,35.84,36.62,37.4,38.17,38.93,39.69,40.44,41.18,41.92,42.64,43.36,44.07,44.78,45.47,46.15,46.83,47.5,48.15,48.8,49.43,50.05,50.66,51.25,51.84,52.4,52.95,53.49,54.01,54.5,54.98,55.44,55.88,56.29,56.68,57.04,57.37,57.68,57.96,58.21,58.43,58.62,58.78,58.91,59.02,59.1,59.16,59.2,59.23,59.25,59.27,59.27,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28,59.28
17,,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.93,5.91,6.87,7.83,8.79,9.74,10.69,11.63,12.56,13.49,14.42,15.34,16.25,17.16,18.07,18.97,19.86,20.75,21.64,22.51,23.39,24.25,25.12,25.97,26.82,27.67,28.51,29.34,30.17,30.99,31.81,32.62,33.42,34.22,35.01,35.8,36.58,37.36,38.12,38.88,39.63,40.38,41.12,41.85,42.57,43.28,43.99,44.69,45.37,46.05,46.72,47.38,48.02,48.66,49.28,49.89,50.49,51.07,51.64,52.19,52.73,53.25,53.75,54.22,54.68,55.12,55.53,55.92,56.28,56.61,56.92,57.19,57.44,57.66,57.85,58.01,58.14,58.24,58.32,58.38,58.42,58.45,58.47,58.49,58.49,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5,58.5
18,,,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.93,5.91,6.87,7.83,8.79,9.74,10.68,11.62,12.56,13.49,14.41,15.33,16.25,17.16,18.06,18.96,19.86,20.74,21.63,22.5,23.38,24.24,25.1,25.96,26.81,27.65,28.49,29.32,30.15,30.97,31.78,32.59,33.39,34.19,34.98,35.76,36.54,37.31,38.07,38.83,39.58,40.32,41.05,41.78,42.49,43.2,43.9,44.59,45.27,45.94,46.6,47.25,47.89,48.51,49.13,49.72,50.31,50.88,51.43,51.97,52.49,52.99,53.46,53.92,54.36,54.77,55.15,55.51,55.85,56.15,56.43,56.67,56.89,57.07,57.23,57.36,57.46,57.54,57.6,57.64,57.67,57.69,57.7,57.71,57.71,57.71,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72,57.72
19,,,,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.93,5.9,6.87,7.83,8.79,9.74,10.68,11.62,12.56,13.49,14.41,15.33,16.25,17.15,18.06,18.96,19.85,20.74,21.62,22.49,23.36,24.23,25.09,25.94,26.79,27.63,28.47,29.3,30.12,30.94,31.75,32.56,33.36,34.15,34.94,35.72,36.49,37.26,38.02,38.77,39.52,40.25,40.98,41.7,42.41,43.12,43.81,44.49,45.16,45.83,46.48,47.12,47.74,48.36,48.96,49.54,50.11,50.67,51.2,51.72,52.22,52.7,53.16,53.59,54.0,54.39,54.75,55.08,55.38,55.66,55.9,56.12,56.3,56.45,56.58,56.68,56.76,56.82,56.86,56.89,56.91,56.92,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93,56.93
20,,,,,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.93,5.9,6.87,7.83,8.79,9.74,10.68,11.62,12.56,13.48,14.41,15.33,16.24,17.15,18.05,18.95,19.84,20.73,21.61,22.48,23.35,24.22,25.07,25.93,26.77,27.61,28.45,29.27,30.1,30.91,31.72,32.53,33.32,34.12,34.9,35.68,36.45,37.21,37.97,38.71,39.45,40.18,40.91,41.62,42.33,43.02,43.71,44.38,45.05,45.7,46.34,46.97,47.59,48.19,48.77,49.35,49.9,50.44,50.96,51.46,51.94,52.4,52.83,53.24,53.62,53.98,54.31,54.61,54.89,55.13,55.34,55.52,55.68,55.8,55.9,55.98,56.04,56.08,56.1,56.12,56.13,56.14,56.14,56.14,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15,56.15
21,,,,,,,,,,,,,,,,,,,,,,1.0,1.99,2.98,3.96,4.93,5.9,6.87,7.83,8.79,9.74,10.68,11.62,12.55,13.48,14.41,15.32,16.24,17.14,18.05,18.94,19.83,20.72,21.6,22.47,23.34,24.2,25.06,25.91,26.75,27.59,28.42,29.25,30.07,30.88,31.69,32.49,33.29,34.08,34.86,35.63,36.4,37.16,37.91,38.65,39.38,40.11,40.83,41.54,42.23,42.92,43.6,44.27,44.92,45.56,46.2,46.81,47.42,48.0,48.58,49.13,49.67,50.19,50.69,51.17,51.63,52.06,52.47,52.85,53.21,53.54,53.84,54.11,54.35,54.56,54.74,54.9,55.02,55.12,55.19,55.25,55.29,55.32,55.33,55.35,55.35,55.35,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36,55.36
